,0
354,"Blues Rock, Psychedelic Rock"
355,"Pop Rock, Vocal"
356,"Blues Rock, Psychedelic Rock, Pop Rock"
357,Modal
358,?
359,Punk
360,"Gangsta, P.Funk, Crunk, Conscious"
361,Alternative Rock
362,Synth-pop
363,"Blues Rock, Classic Rock"
364,Funk Metal
365,"Country, Gospel, Folk"
366,"House, Techno, Downtempo, Vocal, Ambient"
367,"Country Rock, Classic Rock"
368,"Alternative Rock, Indie Rock"
369,Classic Rock
370,Indie Rock
371,"New Wave, Pop Rock"
372,"Psychedelic Rock, Folk Rock, Country Rock, Honky Tonk"
373,"Art Rock, Pop Rock, Glam"
374,Pop Rock
375,"Breakbeat, IDM, Electro"
376,"Country Blues, Electric Blues, Chicago Blues, Jump Blues"
377,Brit Pop
378,RnB/Swing
379,"Reggae Gospel, Reggae, Roots Reggae, Rocksteady"
380,"Pop Rock, Psychedelic Rock"
381,"Art Rock, Indie Rock"
382,"New Wave, Indie Rock"
383,"Mod, Beat, Psychedelic Rock"
384,"Folk Rock, Blues Rock"
385,"Jazz-Rock, Pop Rock, Classic Rock"
386,Gangsta
387,?
388,Pop Rock
389,"Blues Rock, Garage Rock, Alternative Rock"
390,"Soft Rock, Pop Rock"
391,Pop Rock
392,"Grime, Bollywood, Hip Hop, Dancehall"
393,"Pop Rock, Vocal"
394,"Leftfield, Alternative Rock, Electro, Disco"
395,"Art Rock, Avantgarde, Glam"
396,"Dub, Downtempo"
397,Pop Rock
398,Blues Rock
399,"Soul, Disco"
400,"Alternative Rock, Funk Metal"
401,None
402,"Blues Rock, Hard Rock, Southern Rock"
403,"Bayou Funk, Funk, Rhythm & Blues"
404,Power Pop
405,Indie Rock
406,"Rock & Roll, Dub, Punk"
407,"Blues Rock, Rhythm & Blues, Soul"
408,Psychedelic Rock
409,Blues Rock
410,Blues Rock
411,Punk
412,"Alternative Rock, Hardcore, Punk"
413,Pop Rock
414,Hard Rock
415,"Abstract, Art Rock"
416,"New Wave, Pop Rock"
417,Pop Rock
418,"Trip Hop, Downtempo"
419,"Rockabilly, Rock & Roll"
420,?
421,"Rock & Roll, Vocal"
422,"Pop Rock, Soul, Disco"
423,"Folk Rock, Classic Rock"
424,"Country Rock, Honky Tonk"
425,"Power Pop, Pop Rock, Arena Rock, Hard Rock"
426,"Blues Rock, Pop Rock, Ballad"
427,"Alternative Rock, New Wave, Punk"
428,"Experimental, Ambient"
429,Indie Rock
430,Indie Rock
431,"Art Rock, Glam"
432,Pop Rock
433,Power Pop
434,"Grunge, Alternative Rock"
435,"Alternative Rock, Post Rock"
436,"RnB/Swing, Screw, Pop Rap, Thug Rap"
437,"New Wave, Post-Punk"
438,Soul
439,"Folk Rock, Celtic, Punk"
440,"New Wave, Experimental"
441,New Wave
442,"Power Pop, Pop Rock, Hard Rock"
443,Funk
444,Pop Rock
445,"Garage Rock, Rock & Roll"
446,?
447,"New Wave, Pop Rock"
448,?
449,"Pop Rock, Classic Rock"
450,Soul
451,"Country, Folk"
452,None
453,Classic Rock
454,Blues Rock
455,Soul
456,Alternative Rock
457,"Soft Rock, Country Rock"
458,"Rhythm & Blues, Soul"
459,Grunge
460,"Post-Punk, Dub, Avantgarde, Experimental"
461,None
462,"New Wave, Indie Rock"
463,"Hard Rock, Arena Rock"
464,"Synth-pop, Indie Rock"
465,"Alternative Rock, Pop Rock"
466,None
467,"Blues Rock, Electric Blues, Chicago Blues, Modern Electric Blues, Harmonica Blues"
468,"Pop Rap, Conscious"
469,None
470,"Classic Rock, Folk Rock"
